date_3d,hour_3d,minute_bin,wspd_mps_3d,wspd_mph_3d,wdr_cos_3d,wdr_sin_3d,welv_3d,temp_C_3d,temp_F_3d,wdr_3d,time_utc,forecast_period,wspd_mps_nam,wdr_nam,welv_nam,temp_C_nam,kinetic_e,time_local,date_nam,hour_nam,hour_forecasted,days_to_add,date_forecasted,wdr_cos_nam,wdr_sin_nam,temp_F_nam,wspd_mph_nam,welv_diff,wspd_mps_diff,wspd_mph_diff,wdr_diff,temp_C_diff,temp_F_diff,wdr_nam_by10,wspd_mps_nam_by1,wspd_mph_nam_by1,kinetic_e_by1,temp_F_nam_by1,wdr_3d_corr
,,,,,,,,,,,2024-02-09 06:00:00,12.0,2.706003994927487,317.46532588594357,-0.1256888313585945,0.4021972656250341,1.1,2024-02-09 00:00:00,2024-02-09,0.0,12.0,0 days,2024-02-09,0.7368683498621462,-0.6760362674971201,32.72395507812506,6.053168576413094,,,,,,,320.0,3.0,6.0,1.0,33.0,
,,,,,,,,,,,2024-02-09 12:00:00,6.0,2.9121887592275204,310.2527791283431,-0.3095752496721083,0.4536376953125227,1.2000000000000002,2024-02-09 06:00:00,2024-02-09,6.0,12.0,0 days,2024-02-09,0.6461609994279653,-0.7632011286798868,32.81654785156254,6.51439152306641,,,,,,,310.0,3.0,7.0,1.0,33.0,
,,,,,,,,,,,2024-02-09 18:00:00,0.0,2.7527851212124563,324.552121023836,0.0324565834589007,-0.1174804687499886,1.0,2024-02-09 12:00:00,2024-02-09,12.0,12.0,0 days,2024-02-09,0.8146434373163636,-0.5799621281061204,31.78853515625002,6.157815149044993,,,,,,,320.0,3.0,6.0,1.0,32.0,
,,,,,,,,,,,2024-02-09 18:00:00,1.0,2.8450527947196713,323.7546197372983,0.2027044198273709,0.2825439453125113,1.1,2024-02-09 12:00:00,2024-02-09,12.0,13.0,0 days,2024-02-09,0.8064922787220811,-0.5912446231143799,32.50857910156252,6.364212398620222,,,,,,,320.0,3.0,6.0,1.0,33.0,
,,,,,,,,,,,2024-02-09 18:00:00,2.0,2.822838404193699,325.3980329069468,0.0544740086816897,-0.0128417968749658,1.1,2024-02-09 12:00:00,2024-02-09,12.0,14.0,0 days,2024-02-09,0.8231168726956454,-0.5678720048424123,31.976884765625062,6.314520139877053,,,,,,,330.0,3.0,6.0,1.0,32.0,
,,,,,,,,,,,2024-02-09 18:00:00,3.0,2.864658338366142,320.5195822339448,-0.3367360825203023,-0.2392089843749545,1.0,2024-02-09 12:00:00,2024-02-09,12.0,15.0,0 days,2024-02-09,0.771841933605332,-0.6358144615596457,31.569423828125082,6.408068823424759,,,,,,,320.0,3.0,6.0,1.0,32.0,
,,,,,,,,,,,2024-02-09 18:00:00,4.0,2.9631685571395363,314.706792337494,-0.0786172246027808,-0.8300537109374773,1.0,2024-02-09 12:00:00,2024-02-09,12.0,16.0,0 days,2024-02-09,0.703478962187934,-0.7107160823838077,30.50590332031254,6.628430272207715,,,,,,,310.0,3.0,7.0,1.0,31.0,
,,,,,,,,,,,2024-02-08 00:00:00,48.0,2.462076794221563,319.5743687148457,0.1042754790959186,-1.3239746093749432,0.4,2024-02-07 18:00:00,2024-02-07,18.0,18.0,2 days,2024-02-09,0.7612482947025141,-0.6484605106037794,29.6168457031251,5.507518064065983,,,,,,,320.0,2.0,6.0,0.0,30.0,
,,,,,,,,,,,2024-02-09 00:00:00,24.0,2.935669751826996,327.12471530073367,0.0178813881792819,-1.925439453124966,0.6000000000000001,2024-02-08 18:00:00,2024-02-08,18.0,18.0,1 days,2024-02-09,0.8398540919743713,-0.5428122181693262,28.534208984375063,6.566917094651881,,,,,,,330.0,3.0,7.0,1.0,29.0,
,,,,,,,,,,,2024-02-09 12:00:00,12.0,3.0596306092192846,305.68297380202284,-0.1152548202446271,-2.3487499999999955,0.8,2024-02-09 06:00:00,2024-02-09,6.0,18.0,0 days,2024-02-09,0.583299864243858,-0.8122568980150903,27.772250000000007,6.844210094986987,,,,,,,310.0,3.0,7.0,1.0,28.0,
,,,,,,,,,,,2024-02-09 18:00:00,6.0,3.149436487594657,313.4059126279782,-0.2632041242300535,-2.453769531249975,0.7000000000000001,2024-02-09 12:00:00,2024-02-09,12.0,18.0,0 days,2024-02-09,0.6871624858923367,-0.7265037632264985,27.583214843750046,7.045100456559993,,,,,,,310.0,3.0,7.0,1.0,28.0,
,,,,,,,,,,,2024-02-10 00:00:00,0.0,2.9078687125447575,304.3846500865287,-0.1254301981348266,-3.683496093749966,0.4,2024-02-09 18:00:00,2024-02-09,18.0,18.0,0 days,2024-02-09,0.5647459298584818,-0.8252648270151096,25.369707031250062,6.50472783783987,,,,,,,300.0,3.0,7.0,0.0,25.0,
,,,,,,,,,,,2024-02-10 00:00:00,1.0,3.3588629461899844,297.85766956865854,-0.1236234390857188,-5.4210937499999545,0.4,2024-02-09 18:00:00,2024-02-09,18.0,19.0,0 days,2024-02-09,0.467276755793651,-0.8841110979367698,22.242031250000082,7.513574878850224,,,,,,,300.0,3.0,8.0,0.0,22.0,
,,,,,,,,,,,2024-02-10 00:00:00,2.0,3.4694838016615233,298.30537706842733,0.10670586084111,-5.288720703124966,0.6000000000000001,2024-02-09 18:00:00,2024-02-09,18.0,20.0,0 days,2024-02-09,0.47417083760010004,-0.8804328576158545,22.48030273437506,7.761027095288728,,,,,,,300.0,3.0,8.0,1.0,22.0,
,,,,,,,,,,,2024-02-10 00:00:00,3.0,3.1728266648460712,298.6909480310913,-0.0866908294400783,-4.842187499999966,0.6000000000000001,2024-02-09 18:00:00,2024-02-09,18.0,21.0,0 days,2024-02-09,0.4800849140567999,-0.8772220216655958,23.28406250000006,7.097422879660771,,,,,,,300.0,3.0,7.0,1.0,23.0,
,,,,,,,,,,,2024-02-10 00:00:00,4.0,3.1352688314896535,295.6170977584105,0.0410478966360187,-3.871240234374966,0.9,2024-02-09 18:00:00,2024-02-09,18.0,22.0,0 days,2024-02-09,0.4323548473686815,-0.9017035466032082,25.031767578125063,7.013408259912466,,,,,,,300.0,3.0,7.0,1.0,25.0,
,,,,,,,,,,,2024-02-08 06:00:00,48.0,2.3075415248285727,338.40118524522103,-0.2993291153083042,-2.490898437499993,0.3,2024-02-08 00:00:00,2024-02-08,0.0,0.0,2 days,2024-02-10,0.9297841008726729,-0.3681053188482816,27.516382812500012,5.161831938550027,,,,,,,340.0,2.0,5.0,0.0,28.0,
,,,,,,,,,,,2024-02-09 06:00:00,24.0,2.4936144459747425,315.1796914508585,-0.1402205324771415,-2.4035351562499727,0.3,2024-02-09 00:00:00,2024-02-09,0.0,0.0,1 days,2024-02-10,0.7093209336333399,-0.704885673786556,27.67363671875005,5.578065898778741,,,,,,,320.0,2.0,6.0,0.0,28.0,
,,,,,,,,,,,2024-02-09 18:00:00,12.0,3.252841534928779,303.74961561970605,-0.0818312995068124,-2.571855468749959,0.8,2024-02-09 12:00:00,2024-02-09,12.0,0.0,1 days,2024-02-10,0.5555646549254909,-0.8314733394388062,27.370660156250075,7.276411343143583,,,,,,,300.0,3.0,7.0,1.0,27.0,
,,,,,,,,,,,2024-02-10 00:00:00,6.0,3.1144016198305926,289.1424250020317,-0.0583000573576759,-3.5204833984374773,0.8,2024-02-09 18:00:00,2024-02-09,18.0,0.0,1 days,2024-02-10,0.3279175022764031,-0.9447063626867372,25.66312988281254,6.966729559463846,,,,,,,290.0,3.0,7.0,1.0,26.0,
,,,,,,,,,,,2024-02-10 06:00:00,0.0,3.0069636345865667,302.5417621722388,-0.152084570734381,-3.4482031249999636,0.7000000000000001,2024-02-10 00:00:00,2024-02-10,0.0,0.0,0 days,2024-02-10,0.5379142029701394,-0.8429995908913597,25.793234375000065,6.726397232752075,,,,,,,300.0,3.0,7.0,1.0,26.0,
,,,,,,,,,,,2024-02-10 06:00:00,1.0,3.3215353724383387,304.96421780179503,0.0630002652147777,-2.87238281249995,1.0,2024-02-10 00:00:00,2024-02-10,0.0,1.0,0 days,2024-02-10,0.5730647500123105,-0.8195100928562918,26.82971093750009,7.430075336022218,,,,,,,300.0,3.0,7.0,1.0,27.0,
,,,,,,,,,,,2024-02-10 06:00:00,3.0,3.5977478668204963,307.6193414568834,-0.0291762400604783,-3.384687499999984,1.0,2024-02-10 00:00:00,2024-02-10,0.0,3.0,0 days,2024-02-10,0.6104125840141411,-0.7920836302292701,25.90756250000003,8.047946113205441,,,,,,,310.0,4.0,8.0,1.0,26.0,
